Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-3,1) to the modular symbol [X^14*Y^2,(0,0)] of weight 18 and level 1.  Data generated by the following Sage code:

ms1k18a = (ModularSymbols(1, 18).plus_submodule().new_submodule().cuspidal_subspace().atkin_lehner_operator()-1).kernel().gen(0)
jj=compute_jacobi(ms1k18a*5/448, -3, 1, 2000)

Weight: 18
Index: 1

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
  -1999      1   -85122314640
  -1996      0   337365082824
  -1995      1   372079470900
  -1992      0  -652546409232
  -1991      1   199473580152
  -1988      0    19033696944
  -1987      1 946313412907/2
  -1984      0  -158813454336
  -1983      1    53225604264
  -1980      0   -19636848000
  -1979      1-609623510949/2
  -1976      0   -36900612216
  -1975      1   -77260212400
  -1972      0  -153667097832
  -1971      1  -122571040536
  -1968      0     1821953280
  -1967      1   215279342784
  -1964      0    86669269848
  -1963      1  -836301228009
  -1960      0    50623851460
  -1959      1   102428118360
  -1956      0   229794797544
  -1955      1    -3126532050
  -1952      0  -234101520576
  -1951      1   -23635860000
  -1948      0   450371490688
  -1947      1  -384484270764
  -1944      0   -81096455124
  -1943      1     6957804744
  -1940      0    11124147240
  -1939      1    13882149556
  -1936      0   284728935216
  -1935      1  -142077742200
  -1932      0   -57326178720
  -1931      1 314938994913/2
  -1928      0  -321055323624
  -1927      1   252551138256
  -1924      0    90329301920
  -1923      1  -309920905839
  -1920      0   -88893081600
  -1919      1   -45283686552
  -1916      0    58173502464
  -1915      1    25703596695
  -1912      0   256236879472
  -1911      1    30856401576
  -1908      0   108463751460
  -1907      11388496821337/2
  -1904      0  -148152176640
  -1903      1   -65087174152
  -1900      0    48738071800
  -1899      1  46030645683/2
  -1896      0   -77987375592
  -1895      1   -90696763800
  -1892      0  -247858166952
  -1891      1   164884545905
  -1888      0   127706040000
  -1887      1   -76341118272
  -1884      0  -390663831936
  -1883      1    67042275147
  -1880      0    92221666200
  -1879      1  -195662743128
  -1876      0  -205912961248
  -1875      1            N/A
  -1872      0   -56328098112
  -1871      1   -58534035696
  -1868      0  -182689053912
  -1867      1 647520618449/2
  -1864      0   149653980400
  -1863      1   113106490344
  -1860      0   301151254560
  -1859      1-332322729453/2
  -1856      0   121725914112
  -1855      1    57392970800
  -1852      0  -226597989632
  -1851      1  -182267359701
  -1848      0   335104555632
  -1847      1  -175366329624
  -1844      0    -9820635588
  -1843      1  -648873489129
  -1840      0    20730277120
  -1839      1    38553696840
  -1836      0   -62982819648
  -1835      1   -33015410415
  -1832      0    57825453420
  -1831      1   -62793485368
  -1828      0   -85419572720
  -1827      1   237383754030
  -1824      0   166054166784
  -1823      1   159132284064
  -1820      0   439120281600
  -1819      1    26770418033
  -1816      0   -54812947964
  -1815      1   -64711121640
  -1812      0    33752008728
  -1811      1  88228883259/2
  -1808      0  -234660374784
  -1807      1   209830681320
  -1804      0  -157649213040
  -1803      1   556706794452
  -1800      0  -124002272250
  -1799      1     9228639600
  -1796      0    12681310824
  -1795      1  -124501897100
  -1792      0   -99781967872
  -1791      1     5927723208
  -1788      0   -25102180992
  -1787      1-765812655477/2
  -1784      0  -166691280960
  -1783      1   197882186152
  -1780      0  -277407465200
  -1779      1  -323210436879
  -1776      0  -224400783360
  -1775      1   -60069871800
  -1772      0   346293050616
  -1771      1   232786588276
  -1768      0   123913784176
  -1767      1   -35758777296
  -1764      0    20472035661
  -1763      1   -27592539282
  -1760      0   -45888543360
  -1759      1    16976320416
  -1756      0   200628855168
  -1755      1   138581188200
  -1752      0   154768938096
  -1751      1   -30857872320
  -1748      0    -6763288536
  -1747      1-370613030287/2
  -1744      0    29429851968
  -1743      1  -249074692704
  -1740      0     9479284320
  -1739      1   131863309218
  -1736      0   149904094032
  -1735      1    11719401400
  -1732      0    30867749592
  -1731      1    42514873908
  -1728      0            N/A
  -1727      1   -73173587256
  -1724      0   101105028864
  -1723      1 201245908241/2
  -1720      0  -299663635800
  -1719      1    72185534640
  -1716      0    73217642784
  -1715      1   -43986400920
  -1712      0   -25601256576
  -1711      1    43146359384
  -1708      0  -175305670352
  -1707      1  -180060713967
  -1704      0   -71036140464
  -1703      1    77147376696
  -1700      0    61423716600
  -1699      1 369405785759/2
  -1696      0    17700205248
  -1695      1    90348475200
  -1692      0  -187326639360
  -1691      1   -70980653403
  -1688      0  -125741947572
  -1687      1  -135548763408
  -1684      0    24014538644
  -1683      1    80825842449
  -1680      0    62410233600
  -1679      1    11965406976
  -1676      0  -139301223336
  -1675      1 419026806475/2
  -1672      0   209370768112
  -1671      1   -57931911960
  -1668      0  -138318908328
  -1667      1  17483764185/2
  -1664      0    53160367104
  -1663      1   -89201873312
  -1660      0     8000970880
  -1659      1  -140797077708
  -1656      0   -12104623080
  -1655      1   105747388200
  -1652      0   147893478696
  -1651      1  -176464319564
  -1648      0   332433786880
  -1647      1   -13014140832
  -1644      0   163627064208
  -1643      1    19483557201
  -1640      0   -46997148960
  -1639      1    -2149478584
  -1636      0   -39315973984
  -1635      1    -3321023820
  -1632      0    44086027392
  -1631      1   -36829478016
  -1628      0  -264615297408
  -1627      1-321757745333/2
  -1624      0    39309582560
  -1623      1    36956631144
  -1620      0   -74412164700
  -1619      1 380043694611/2
  -1616      0   -98481189312
  -1615      1    98348085840
  -1612      0    69065544496
  -1611      1  43929179955/2
  -1608      0   -51345460128
  -1607      1    21162719736
  -1604      0   -79107565464
  -1603      1   -45918815433
  -1600      0  -209230355200
  -1599      1    53148914208
  -1596      0   -25013162496
  -1595      1  -119365032600
  -1592      0   -63936791784
  -1591      1   -57639869032
  -1588      0   165537243660
  -1587      1            N/A
  -1584      0     6733964160
  -1583      1    63218034144
  -1580      0    46818244800
  -1579      1 -30958063803/2
  -1576      0    40580296844
  -1575      1   -11571258600
  -1572      0   180127799640
  -1571      1 312717584781/2
  -1568      0    85448496672
  -1567      1   -22684097040
  -1564      0    62103474944
  -1563      1   -60860840553
  -1560      0   -69447524640
  -1559      1   -25179506712
  -1556      0    45160421292
  -1555      1   -83340991750
  -1552      0  -174006940800
  -1551      1   -37447951728
  -1548      0   -20442377736
  -1547      1  -115521091218
  -1544      0    93242217240
  -1543      1  -119845463992
  -1540      0   -43852907120
  -1539      1 -35140392243/2
  -1536      0    -6431293440
  -1535      1   -45571792680
  -1532      0    47322729216
  -1531      1 262678517759/2
  -1528      0    -9736375184
  -1527      1    80959459800
  -1524      0   -36867724248
  -1523      1 244888343595/2
  -1520      0    52445952000
  -1519      1    -8652261072
  -1516      0   -45605873208
  -1515      1   -49217015250
  -1512      0   -48504167712
  -1511      1   -46515227976
  -1508      0  -144579168864
  -1507      1   165902783354
  -1504      0  -108122023680
  -1503      1    23560285320
  -1500      0    96511968000
  -1499      1-131517064647/2
  -1496      0    93389100552
  -1495      1    76737746800
  -1492      0  -107910876268
  -1491      1     7389547182
  -1488      0   144843861888
  -1487      1    11544439680
  -1484      0   -52406206272
  -1483      1  31940940811/2
  -1480      0    73792444200
  -1479      1    47271253728
  -1476      0     1560118320
  -1475      1-399365210925/2
  -1472      0    63749062656
  -1471      1    -2102761808
  -1468      0    50548619520
  -1467      1 -32234748975/2
  -1464      0   -37472418648
  -1463      1   -32469055344
  -1460      0    46344600360
  -1459      1-192010327585/2
  -1456      0    -1228747520
  -1455      1     3217059600
  -1452      0            N/A
  -1451      1 -79924536135/2
  -1448      0    -3429971460
  -1447      1    50035177768
  -1444      0    18471062901
  -1443      1   -96323144268
  -1440      0    23972984640
  -1439      1    -3863994912
  -1436      0   -22227359616
  -1435      1   201294458810
  -1432      0   -76550844012
  -1431      1   -12854364768
  -1428      0  -105706706928
  -1427      1 275378684499/2
  -1424      0   -39047107968
  -1423      1   -28308570480
  -1420      0   101815407200
  -1419      1    36679353678
  -1416      0   -10454232480
  -1415      1     8093459880
  -1412      0    50851153440
  -1411      1   -46536244006
  -1408      0   -10574406656
  -1407      1    -4643359056
  -1404      0    11526907392
  -1403      1    98215842123
  -1400      0    57214258200
  -1399      1   -28284098184
  -1396      0    62971913500
  -1395      1   -51676967250
  -1392      0  -148620625920
  -1391      1   -16520297976
  -1388      0   -15682643208
  -1387      1   -94347619558
  -1384      0     7750950668
  -1383      1   -28001571912
  -1380      0    50574541200
  -1379      1   -54359640216
  -1376      0   -20280984768
  -1375      1   -11284350000
  -1372      0   -20233421824
  -1371      1    78550164270
  -1368      0   107169899580
  -1367      1     2032179192
  -1364      0   -29913943752
  -1363      1   -98242926153
  -1360      0    13229969280
  -1359      1       69639768
  -1356      0    42983122320
  -1355      1     4372829550
  -1352      0   -60422314446
  -1351      1    50840428800
  -1348      0    52626009232
  -1347      1    77734674711
  -1344      0    35773483008
  -1343      1    76057722432
  -1340      0   -87897720960
  -1339      1    39536200756
  -1336      0   -68285716824
  -1335      1   -73307407920
  -1332      0     -364602348
  -1331      1    37304102286
  -1328      0      140837760
  -1327      1     -195970560
  -1324      0   -25040949816
  -1323      1            N/A
  -1320      0   -63396128400
  -1319      1     7447192488
  -1316      0   -19136125008
  -1315      1   -30288846345
  -1312      0   116737475712
  -1311      1     8577121488
  -1308      0     6837489792
  -1307      1-109304411265/2
  -1304      0    28703726964
  -1303      1    10238371576
  -1300      0   -29761561700
  -1299      1     2766309396
  -1296      0    73336470768
  -1295      1    -1388077200
  -1292      0    19310739552
  -1291      1-228348314235/2
  -1288      0   -26051270288
  -1287      1   -15520756680
  -1284      0   -25311955992
  -1283      1 -29657442465/2
  -1280      0    -7907328000
  -1279      1    -7432536512
  -1276      0   -49213442432
  -1275      1    76561890225
  -1272      0    73617104808
  -1271      1    19622404512
  -1268      0    51151992084
  -1267      1    78164300343
  -1264      0    15429406720
  -1263      1     5285932296
  -1260      0   -40221068400
  -1259      1  45790808499/2
  -1256      0   -30766854420
  -1255      1    19725635400
  -1252      0   -21658289648
  -1251      1 -26199801837/2
  -1248      0  -130961331072
  -1247      1   -54248146632
  -1244      0    78664860288
  -1243      1     8103364346
  -1240      0    -9278591120
  -1239      1    10570675008
  -1236      0     -784490472
  -1235      1     4844135790
  -1232      0     1047949056
  -1231      1     3622802976
  -1228      0     8356781256
  -1227      1   -88577571462
  -1224      0     4050200088
  -1223      1   -16102950120
  -1220      0    16414941600
  -1219      1    73979826807
  -1216      0     3672086528
  -1215      1   -13294500840
  -1212      0    52364871552
  -1211      1   -32184124533
  -1208      0   -15519247704
  -1207      1    -7138534608
  -1204      0     6861851920
  -1203      1    16531973271
  -1200      0            N/A
  -1199      1    -8935479432
  -1196      0    31627327680
  -1195      1    19979931700
  -1192      0    41731050324
  -1191      1    12438398520
  -1188      0   -12478058208
  -1187      1 -43785603099/2
  -1184      0   -29843681472
  -1183      1    26854361976
  -1180      0   -60947689600
  -1179      1 -60528471885/2
  -1176      0    -1858408188
  -1175      1    13995277200
  -1172      0   -30378102876
  -1171      1   8904373099/2
  -1168      0   -13541911680
  -1167      1    34451967048
  -1164      0   -18853828512
  -1163      1  50924760075/2
  -1160      0     1240150680
  -1159      1   -17179613944
  -1156      0   -12405499759
  -1155      1    -2744474700
  -1152      0    28834859520
  -1151      1    13045125024
  -1148      0    22289734656
  -1147      1   -48570504297
  -1144      0    25725973416
  -1143      1     -363591360
  -1140      0    24307326240
  -1139      1    -4004593848
  -1136      0    11996375040
  -1135      1   -33181155000
  -1132      0   -15580859448
  -1131      1    26653452852
  -1128      0     9996331632
  -1127      1   -12299404824
  -1124      0   -14628301848
  -1123      1  -8011152271/2
  -1120      0    36953347200
  -1119      1    -8966245944
  -1116      0    -6083852544
  -1115      1    38016454545
  -1112      0   -20211217020
  -1111      1    -2865998872
  -1108      0    21980520588
  -1107      1     -622229580
