Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-4,0) to the modular symbol [X^14*Y^2,(0,0)] of weight 18 and level 1.  Data generated by the following Sage code:

ms1k18a = (ModularSymbols(1, 18).plus_submodule().new_submodule().cuspidal_subspace().atkin_lehner_operator()-1).kernel().gen(0)
jj=compute_jacobi_fast(ms1k18a*5/224, -4, 0, 2000)

Weight: 18
Index: 1

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
    -99      1       -2147310
    -96      0        1545984
    -95      1        -741600
    -92      0       -4290048
    -91      1         391820
    -88      0         286352
    -87      1        2101536
    -84      0        -968736
    -83      1         -44910
    -80      0        1900800
    -79      1        -218176
    -76      0         137632
    -75      1       -1270450
    -72      0        -780840
    -71      1        -169632
    -68      0         386784
    -67      1        1319302
    -64      0            N/A
    -63      1         -72864
    -60      0         376320
    -59      1        -563886
    -56      0         161568
    -55      1         -44000
    -52      0        -187408
    -51      1         216204
    -48      0          25088
    -47      1          88128
    -44      0         -53856
    -43      1        -132026
    -40      0          79760
    -39      1         -13728
    -36      0            N/A
    -35      1          54540
    -32      0         -38016
    -31      1         -13632
    -28      0          25088
    -27      1          -8568
    -24      0          -2928
    -23      1           5472
    -20      0          -3600
    -19      1           -506
    -16      0            N/A
    -15      1           -480
    -12      0           -544
    -11      1            198
     -8      0             72
     -7      1            -32
     -4      0            N/A
     -3      1              2
