Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(5,7) to the modular symbol (1,8) - 1/2*(1,9) of weight 2 and level 11.  Data generated by the following Sage code:

ms11 = ModularSymbols(Gamma0(11), 2).minus_submodule().cuspidal_submodule().gen(0)
jj = compute_jacobi_fast(ms11, 5, 7, 2000)

Weight: 2
Index: 11

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
      1      1              1
      1     21             -1
      4      2             -3
      4     20              3
      5      7            N/A
      5     15            N/A
      9      3             -2
      9     19              2
     12     10              5
     12     12             -5
     16      4              4
     16     18             -4
     20      8            N/A
     20     14            N/A
     25      5              0
     25     17              0
     33     11              0
     36      6              6
     36     16             -6
     37      9              5
     37     13             -5
     44      0              0
     45      1            N/A
     45     21            N/A
     48      2             10
     48     20            -10
     49      7             -3
     49     15              3
     53      3             10
     53     19            -10
     56     10            -10
     56     12             10
     60      4             -5
     60     18              5
     64      8             -2
     64     14              2
     69      5             15
     69     17            -15
     77     11              0
     80      6            N/A
     80     16            N/A
     81      9             -1
     81     13              1
     88      0              0
     89      1             -5
     89     21              5
     92      2              5
     92     20             -5
     93      7             -5
     93     15              5
     97      3              5
     97     19             -5
    100     10              0
    100     12              0
    104      4             10
    104     18            -10
    108      8             -5
    108     14              5
    113      5             -5
    113     17              5
    121     11              0
    124      6              5
    124     16             -5
    125      9            N/A
    125     13            N/A
    132      0              0
    133      1             10
    133     21            -10
    136      2            -10
    136     20             10
    137      7              5
    137     15             -5
    141      3            -10
    141     19             10
    144     10              8
    144     12             -8
    148      4              5
    148     18             -5
    152      8             10
    152     14            -10
    157      5            -15
    157     17             15
    165     11              0
    168      6            -10
    168     16             10
    169      9             -3
    169     13              3
    176      0              0
    177      1              5
    177     21             -5
    180      2            N/A
    180     20            N/A
    181      7             15
    181     15            -15
    185      3             -5
    185     19              5
    188     10             10
    188     12            -10
    192      4            -10
    192     18             10
    196      8             -9
    196     14              9
    201      5              5
    201     17             -5
    209     11              0
    212      6            -10
    212     16             10
    213      9              5
    213     13             -5
    220      0              0
    221      1            -10
    221     21             10
    224      2            -20
    224     20             20
    225      7              0
    225     15              0
    229      3             -5
    229     19              5
    232     10              0
    232     12              0
    236      4             -5
    236     18              5
    240      8             10
    240     14            -10
    245      5            N/A
    245     17            N/A
    253     11              0
    256      6              4
    256     16             -4
    257      9             10
    257     13            -10
    264      0              0
    265      1              0
    265     21              0
    268      2              5
    268     20             -5
    269      7            -20
    269     15             20
    273      3              0
    273     19              0
    276     10            -15
    276     12             15
    280      4            -10
    280     18             10
    284      8            -15
    284     14             15
    289      5              3
    289     17             -3
    297     11              0
    300      6             10
    300     16            -10
    301      9            -10
    301     13             10
    308      0              0
    309      1            -20
    309     21             20
    312      2             10
    312     20            -10
    313      7             -5
    313     15              5
    317      3             -5
    317     19              5
    320     10            N/A
    320     12            N/A
    324      4             -3
    324     18              3
    328      8             10
    328     14            -10
    333      5            -10
    333     17             10
    341     11              0
    344      6              0
    344     16              0
    345      9             -5
    345     13              5
    352      0              0
    353      1              5
    353     21             -5
    356      2             15
    356     20            -15
    357      7            -20
    357     15             20
    361      3              1
    361     19             -1
    364     10              0
    364     12              0
    368      4            -10
    368     18             10
    372      8             -5
    372     14              5
    377      5             10
    377     17            -10
    385     11              0
    388      6            -15
    388     16             15
    389      9             -5
    389     13              5
    396      0              0
    397      1             10
    397     21            -10
    400      2              0
    400     20              0
    401      7              0
    401     15              0
    405      3            N/A
    405     19            N/A
    408     10            -10
    408     12             10
    412      4             10
    412     18            -10
    416      8            -20
    416     14             20
    421      5              0
    421     17              0
    429     11              0
    432      6            -10
    432     16             10
    433      9              5
    433     13             -5
    440      0              0
    441      1             -6
    441     21              6
    444      2            -15
    444     20             15
    445      7              5
    445     15             -5
    449      3              5
    449     19             -5
    452     10             15
