Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(61,1) to the modular symbol (5,1) - (5,2) of weight 2 and level 15.  Data generated by the following Sage code:

ms15 = ModularSymbols(Gamma0(15), 2).minus_submodule().cuspidal_submodule().gen(0)
jj=compute_jacobi_fast(ms15,61,1,2000)

Weight: 2
Index: 15

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
      1      1             -2
      1     11             -2
      1     19              2
      1     29              2
      4      2              4
      4      8             -4
      4     22              4
      4     28             -4
      9      3              4
      9     27             -4
     16      4              0
     16     14              0
     16     16              0
     16     26              0
     21      9            -16
     21     21             16
     24     12            -16
     24     18             16
     25      5              0
     25     25              0
     36      6             -8
     36     24              8
     40     10              0
     40     20              0
     45     15              0
     49      7              2
     49     13             -2
     49     17              2
     49     23             -2
     60      0              0
     61      1            N/A
     61     11            N/A
     61     19            N/A
     61     29            N/A
     64      2              8
     64      8             -8
     64     22              8
     64     28             -8
     69      3            -16
     69     27             16
     76      4            -16
     76     14            -16
     76     16             16
     76     26             16
     81      9             -4
     81     21              4
     84     12              0
     84     18              0
     85      5              0
     85     25              0
     96      6            -16
     96     24             16
    100     10              0
    100     20              0
    105     15              0
    109      7            -16
    109     13             16
    109     17            -16
    109     23             16
    120      0              0
    121      1             10
    121     11             10
    121     19            -10
    121     29            -10
    124      2            -16
    124      8             16
    124     22            -16
    124     28             16
    129      3            -16
    129     27             16
    136      4              0
    136     14              0
    136     16              0
    136     26              0
    141      9            -16
    141     21             16
    144     12              0
    144     18              0
    145      5              0
    145     25              0
    156      6            -32
    156     24             32
    160     10              0
    160     20              0
    165     15              0
    169      7             -6
    169     13              6
    169     17             -6
    169     23              6
    180      0              0
    181      1              0
    181     11              0
    181     19              0
    181     29              0
    184      2             16
    184      8            -16
    184     22             16
    184     28            -16
    189      3            -16
    189     27             16
    196      4             -4
    196     14             -4
    196     16              4
    196     26              4
    201      9             16
    201     21            -16
    204     12             32
    204     18            -32
    205      5              0
    205     25              0
    216      6             16
    216     24            -16
    220     10              0
    220     20              0
    225     15              0
    229      7              0
    229     13              0
    229     17              0
    229     23              0
    240      0              0
    241      1            -16
    241     11            -16
    241     19             16
    241     29             16
    244      2            N/A
    244      8            N/A
    244     22            N/A
    244     28            N/A
    249      3             16
    249     27            -16
    256      4             -8
    256     14             -8
    256     16              8
    256     26              8
    261      9              0
    261     21              0
    264     12            -32
    264     18             32
    265      5              0
    265     25              0
    276      6              0
    276     24              0
    280     10              0
    280     20              0
    285     15              0
    289      7             -2
    289     13              2
    289     17             -2
    289     23              2
    300      0              0
    301      1             16
    301     11             16
    301     19            -16
    301     29            -16
    304      2            -16
    304      8             16
    304     22            -16
    304     28             16
    309      3             16
    309     27            -16
    316      4             16
    316     14             16
    316     16            -16
    316     26            -16
    321      9            -16
    321     21             16
    324     12             -8
    324     18              8
    325      5              0
    325     25              0
    336      6             32
    336     24            -32
    340     10              0
    340     20              0
    345     15              0
    349      7             32
    349     13            -32
    349     17             32
    349     23            -32
    360      0              0
    361      1              6
    361     11              6
    361     19             -6
    361     29             -6
    364      2              0
    364      8              0
    364     22              0
    364     28              0
    369      3              0
    369     27              0
    376      4             16
    376     14             16
    376     16            -16
    376     26            -16
    381      9             16
    381     21            -16
    384     12            -16
    384     18             16
