Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,131) - (1,228) - 3/2*(1,234) - (1,243) + 1/2*(1,246) + 1/2*(1,249) - 3/2*(1,250) + 1/2*(1,251) + (1,252) - 1/2*(1,257) - 1/2*(1,258) + 1/2*(1,260) + 1/2*(1,261) - 1/2*(1,262) + 1/2*(1,263) - 1/2*(1,267) + 1/2*(1,268) - (1,269) + (1,270) - (1,271) + (1,272) - 1/2*(1,274) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
   -499     71              2
   -499    483              2
   -495    239              2
   -495    315              2
   -492    184              0
   -492    370              0
   -491    127              0
   -491    427              0
   -488    204             -8
   -488    350             -8
   -487    187             -4
   -487    367             -4
   -484    212             -2
   -484    342             -2
   -483     25              8
   -483    529              8
   -480    118              2
   -480    436              2
   -479    181              0
   -479    373              0
   -475    165              2
   -475    389              2
   -471    103             -4
   -471    451             -4
   -468    232              4
   -468    322              4
   -467    151              2
   -467    403              2
   -464    190             -6
   -464    364             -6
   -463     63             10
   -463    491             10
   -452     42             -6
   -452    512             -6
   -448    178            N/A
   -448    376            N/A
   -432     26              0
   -432    528              0
   -431    257              0
   -431    297              0
   -424    246              0
   -424    308              0
   -423    193             -6
   -423    361             -6
   -408     54             -4
   -408    500             -4
   -407     79             -2
   -407    475             -2
   -400     92             -6
   -400    462             -6
   -399    175             -2
   -399    379             -2
   -383    123             -4
   -383    431             -4
   -379     27            -12
   -379    527            -12
   -368     98             -2
   -368    456             -2
   -367     43              4
   -367    511              4
   -364    196              4
   -364    358              4
   -363    207             -4
   -363    347             -4
   -360     86              2
   -360    468              2
   -356     72              4
   -356    482              4
   -352    220             10
   -352    334             10
   -351    155              2
   -351    399              2
   -348    162             -6
   -348    392             -6
   -347    255              2
   -347    299              2
   -344    140             -2
   -344    414             -2
   -343    225            N/A
   -343    329            N/A
   -340    136              2
   -340    418              2
   -339    237              4
   -339    317              4
   -336     64              2
   -336    490              2
   -332    172             -4
   -332    382             -4
   -324     28              4
   -324    526              4
   -316    144             -6
   -316    410             -6
   -311    215              2
   -311    339              2
   -307    109             -8
   -307    445             -8
   -304    132              2
   -304    422              2
   -300    114              8
   -300    440              8
   -299     55             -2
   -299    499             -2
   -296    244             -6
   -296    310             -6
   -287    199              4
   -287    355              4
   -284    230             -2
   -284    324             -2
   -280     44              2
   -280    510              2
   -276    276             -4
   -276    278             -4
   -268    274             -4
   -268    280             -4
   -267     29              2
   -267    525              2
   -264    104              0
   -264    450              0
   -256    148              6
   -256    406              6
   -255    253             -2
   -255    301             -2
   -252    272            N/A
   -252    282            N/A
   -248     80             -2
   -248    474             -2
   -247    169              4
   -247    385              4
   -243    119             -2
   -243    435             -2
   -236    128              0
   -236    426              0
   -228    270              8
   -228    284              8
   -220    210             -4
   -220    344             -4
   -215     93              4
   -215    461              4
   -211     73             -8
   -211    481             -8
   -208     30              0
   -208    524              0
   -207     65             -2
   -207    489             -2
   -203    159              0
   -203    395              0
   -196    268             -4
   -196    286             -4
   -192    202              2
   -192    352              2
   -191     45             -2
   -191    509             -2
   -188     56             -2
   -188    498             -2
   -187     87              2
   -187    467              2
   -175    235            N/A
   -175    319            N/A
   -171     99              6
   -171    455              6
   -164    152              2
   -164    402              2
   -160    242              0
   -160    312              0
   -156    266              4
   -156    288              4
   -155    251              2
   -155    303              2
   -147     31              2
   -147    523              2
   -144    166              2
   -144    388              2
   -136    124             -2
   -136    430             -2
   -131    223              2
   -131    331              2
   -123    185              0
   -123    369              0
   -120    218             -2
   -120    336             -2
   -116    182              6
   -116    372              6
   -112    188            N/A
   -112    366            N/A
   -108    264              2
   -108    290              2
   -100     46              2
   -100    508              2
    -92    228              0
    -92    326              0
    -91    179             -4
    -91    375             -4
    -88    110              0
    -88    444              0
    -87     81              4
    -87    473              4
    -84     32              4
    -84    522              4
    -83    191             -4
    -83    363             -4
    -79    205              2
    -79    349              2
    -76     66              2
    -76    488              2
    -75     57              0
    -75    497              0
    -71    115             -2
    -71    439             -2
    -67    137              0
    -67    417              0
    -64     74              0
    -64    480              0
    -63    141            N/A
    -63    413            N/A
    -59    213              0
    -59    341              0
    -55    105              0
    -55    449              0
    -52    262             -4
    -52    292             -4
    -48    176             -2
    -48    378             -2
    -47    249              2
    -47    305              2
    -40    156             -4
    -40    398             -4
    -39    133              0
    -39    421              0
    -36    194             -2
    -36    360             -2
    -28     94            N/A
    -28    460            N/A
    -27    145              2
    -27    409              2
    -23    163              2
    -23    391              2
    -19     33             -4
    -19    521             -4
    -16    240             -2
    -16    314             -2
    -12     88             -2
    -12    466             -2
     -7     47            N/A
     -7    507            N/A
     -4    120              2
     -4    434              2
