Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,173) - 1/3*(1,234) + 2/3*(1,239) - 2/3*(1,240) + 1/3*(1,242) - 2/3*(1,243) + 2/3*(1,244) - 2/3*(1,245) - 1/3*(1,246) + 1/3*(1,247) - 2/3*(1,249) + 1/3*(1,250) + (1,251) - 2/3*(1,252) + 2/3*(1,258) - 2/3*(1,259) + 1/3*(1,260) + 1/3*(1,261) + 2/3*(1,267) - 2/3*(1,268) - 1/3*(1,269) - 2/3*(1,270) + 1/3*(1,274) + (1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
   -499     71          -16/3
   -499    483          -16/3
   -495    239           20/3
   -495    315           20/3
   -492    184           -8/3
   -492    370           -8/3
   -491    127            4/3
   -491    427            4/3
   -488    204          -16/3
   -488    350          -16/3
   -487    187             -4
   -487    367             -4
   -484    212          -16/3
   -484    342          -16/3
   -483     25              4
   -483    529              4
   -480    118          -16/3
   -480    436          -16/3
   -479    181           -4/3
   -479    373           -4/3
   -475    165             -4
   -475    389             -4
   -471    103              4
   -471    451              4
   -468    232              0
   -468    322              0
   -467    151              4
   -467    403              4
   -464    190            4/3
   -464    364            4/3
   -463     63           28/3
   -463    491           28/3
   -452     42              0
   -452    512              0
   -448    178            N/A
   -448    376            N/A
   -432     26           28/3
   -432    528           28/3
   -431    257            4/3
   -431    297            4/3
   -424    246            4/3
   -424    308            4/3
   -423    193           -8/3
   -423    361           -8/3
   -408     54              0
   -408    500              0
   -407     79            8/3
   -407    475            8/3
   -400     92              0
   -400    462              0
   -399    175           -4/3
   -399    379           -4/3
   -383    123              0
   -383    431              0
   -379     27           -4/3
   -379    527           -4/3
   -368     98              0
   -368    456              0
   -367     43            8/3
   -367    511            8/3
   -364    196              0
   -364    358              0
   -363    207          -20/3
   -363    347          -20/3
   -360     86            4/3
   -360    468            4/3
   -356     72            4/3
   -356    482            4/3
   -352    220            8/3
   -352    334            8/3
   -351    155           -8/3
   -351    399           -8/3
   -348    162           -4/3
   -348    392           -4/3
   -347    255            8/3
   -347    299            8/3
   -344    140           -4/3
   -344    414           -4/3
   -343    225            N/A
   -343    329            N/A
   -340    136          -20/3
   -340    418          -20/3
   -339    237           16/3
   -339    317           16/3
   -336     64           -4/3
   -336    490           -4/3
   -332    172           -8/3
   -332    382           -8/3
   -324     28            4/3
   -324    526            4/3
   -316    144            4/3
   -316    410            4/3
   -311    215            8/3
   -311    339            8/3
   -307    109            4/3
   -307    445            4/3
   -304    132           16/3
   -304    422           16/3
   -300    114            4/3
   -300    440            4/3
   -299     55             -4
   -299    499             -4
   -296    244           -8/3
   -296    310           -8/3
   -287    199            4/3
   -287    355            4/3
   -284    230           -8/3
   -284    324           -8/3
   -280     44              4
   -280    510              4
   -276    276           -8/3
   -276    278           -8/3
   -268    274           20/3
   -268    280           20/3
   -267     29             -4
   -267    525             -4
   -264    104            8/3
   -264    450            8/3
   -256    148            8/3
   -256    406            8/3
   -255    253           -8/3
   -255    301           -8/3
   -252    272            N/A
   -252    282            N/A
   -248     80            4/3
   -248    474            4/3
   -247    169           16/3
   -247    385           16/3
   -243    119           -4/3
   -243    435           -4/3
   -236    128            8/3
   -236    426            8/3
   -228    270              0
   -228    284              0
   -220    210              4
   -220    344              4
   -215     93           -4/3
   -215    461           -4/3
   -211     73              4
   -211    481              4
   -208     30          -20/3
   -208    524          -20/3
   -207     65             -4
   -207    489             -4
   -203    159           -4/3
   -203    395           -4/3
   -196    268           16/3
   -196    286           16/3
   -192    202            8/3
   -192    352            8/3
   -191     45            4/3
   -191    509            4/3
   -188     56           -4/3
   -188    498           -4/3
   -187     87             -8
   -187    467             -8
   -175    235            N/A
   -175    319            N/A
   -171     99           -8/3
   -171    455           -8/3
   -164    152            4/3
   -164    402            4/3
   -160    242              0
   -160    312              0
   -156    266           -8/3
   -156    288           -8/3
   -155    251           -4/3
   -155    303           -4/3
   -147     31            4/3
   -147    523            4/3
   -144    166              0
   -144    388              0
   -136    124          -16/3
   -136    430          -16/3
   -131    223            4/3
   -131    331            4/3
   -123    185            8/3
   -123    369            8/3
   -120    218              0
   -120    336              0
   -116    182           -4/3
   -116    372           -4/3
   -112    188            N/A
   -112    366            N/A
   -108    264              0
   -108    290              0
   -100     46           -4/3
   -100    508           -4/3
    -92    228            4/3
    -92    326            4/3
    -91    179              4
    -91    375              4
    -88    110            8/3
    -88    444            8/3
    -87     81              0
    -87    473              0
    -84     32            8/3
    -84    522            8/3
    -83    191            4/3
    -83    363            4/3
    -79    205            4/3
    -79    349            4/3
    -76     66           -4/3
    -76    488           -4/3
    -75     57              4
    -75    497              4
    -71    115              0
    -71    439              0
    -67    137           -4/3
    -67    417           -4/3
    -64     74              0
    -64    480              0
    -63    141            N/A
    -63    413            N/A
    -59    213           -8/3
    -59    341           -8/3
    -55    105             -4
    -55    449             -4
    -52    262              0
    -52    292              0
    -48    176             -4
    -48    378             -4
    -47    249            4/3
    -47    305            4/3
    -40    156           -4/3
    -40    398           -4/3
    -39    133            4/3
    -39    421            4/3
    -36    194           -8/3
    -36    360           -8/3
    -28     94            N/A
    -28    460            N/A
    -27    145              0
    -27    409              0
    -23    163            4/3
    -23    391            4/3
    -19     33              0
    -19    521              0
    -16    240              0
    -16    314              0
    -12     88              0
    -12    466              0
     -7     47            N/A
     -7    507            N/A
     -4    120            4/3
     -4    434            4/3
