Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,191) + (1,234) + (1,242) + (1,244) - (1,245) + (1,246) - (1,248) - (1,249) + 2*(1,250) - (1,251) + (1,258) - (1,259) + (1,260) - (1,261) + (1,267) - (1,268) + (1,269) - (1,270) + (1,274) - (1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
   -499     71             -8
   -499    483             -8
   -495    239              4
   -495    315              4
   -492    184             12
   -492    370             12
   -491    127             -4
   -491    427             -4
   -488    204              8
   -488    350              8
   -487    187             -8
   -487    367             -8
   -484    212             -4
   -484    342             -4
   -483     25            -16
   -483    529            -16
   -480    118             -4
   -480    436             -4
   -479    181              0
   -479    373              0
   -475    165              4
   -475    389              4
   -471    103              4
   -471    451              4
   -468    232              8
   -468    322              8
   -467    151             -8
   -467    403             -8
   -464    190              4
   -464    364              4
   -463     63              8
   -463    491              8
   -452     42              8
   -452    512              8
   -448    178            N/A
   -448    376            N/A
   -432     26              4
   -432    528              4
   -431    257              0
   -431    297              0
   -424    246             -4
   -424    308             -4
   -423    193              4
   -423    361              4
   -408     54              8
   -408    500              8
   -407     79              4
   -407    475              4
   -400     92            -12
   -400    462            -12
   -399    175             -4
   -399    379             -4
   -383    123             12
   -383    431             12
   -379     27              8
   -379    527              8
   -368     98              4
   -368    456              4
   -367     43              4
   -367    511              4
   -364    196              4
   -364    358              4
   -363    207              8
   -363    347              8
   -360     86             -4
   -360    468             -4
   -356     72              0
   -356    482              0
   -352    220              4
   -352    334              4
   -351    155             -4
   -351    399             -4
   -348    162             -8
   -348    392             -8
   -347    255              4
   -347    299              4
   -344    140              0
   -344    414              0
   -343    225            N/A
   -343    329            N/A
   -340    136             -4
   -340    418             -4
   -339    237              4
   -339    317              4
   -336     64              4
   -336    490              4
   -332    172              8
   -332    382              8
   -324     28              0
   -324    526              0
   -316    144              8
   -316    410              8
   -311    215              0
   -311    339              0
   -307    109             -8
   -307    445             -8
   -304    132             -4
   -304    422             -4
   -300    114              0
   -300    440              0
   -299     55              4
   -299    499              4
   -296    244              4
   -296    310              4
   -287    199             -4
   -287    355             -4
   -284    230              0
   -284    324              0
   -280     44             -8
   -280    510             -8
   -276    276              4
   -276    278              4
   -268    274              4
   -268    280              4
   -267     29             -4
   -267    525             -4
   -264    104              4
   -264    450              4
   -256    148              4
   -256    406              4
   -255    253              4
   -255    301              4
   -252    272            N/A
   -252    282            N/A
   -248     80              4
   -248    474              4
   -247    169              8
   -247    385              8
   -243    119              4
   -243    435              4
   -236    128             -4
   -236    426             -4
   -228    270             -8
   -228    284             -8
   -220    210             -4
   -220    344             -4
   -215     93             -4
   -215    461             -4
   -211     73              0
   -211    481              0
   -208     30              4
   -208    524              4
   -207     65             -8
   -207    489             -8
   -203    159              0
   -203    395              0
   -196    268              0
   -196    286              0
   -192    202             -8
   -192    352             -8
   -191     45              0
   -191    509              0
   -188     56             -8
   -188    498             -8
   -187     87              8
   -187    467              8
   -175    235            N/A
   -175    319            N/A
   -171     99              4
   -171    455              4
   -164    152              0
   -164    402              0
   -160    242             -4
   -160    312             -4
   -156    266              0
   -156    288              0
   -155    251             -4
   -155    303             -4
   -147     31              4
   -147    523              4
   -144    166             -8
   -144    388             -8
   -136    124             -4
   -136    430             -4
   -131    223             -4
   -131    331             -4
   -123    185             -4
   -123    369             -4
   -120    218              0
   -120    336              0
   -116    182             -4
   -116    372             -4
   -112    188            N/A
   -112    366            N/A
   -108    264              8
   -108    290              8
   -100     46             -4
   -100    508             -4
    -92    228              4
    -92    326              4
    -91    179              4
    -91    375              4
    -88    110              4
    -88    444              4
    -87     81             -4
    -87    473             -4
    -84     32             -4
    -84    522             -4
    -83    191              0
    -83    363              0
    -79    205              4
    -79    349              4
    -76     66              4
    -76    488              4
    -75     57              0
    -75    497              0
    -71    115              0
    -71    439              0
    -67    137              8
    -67    417              8
    -64     74              0
    -64    480              0
    -63    141            N/A
    -63    413            N/A
    -59    213              0
    -59    341              0
    -55    105             -4
    -55    449             -4
    -52    262             -4
    -52    292             -4
    -48    176              0
    -48    378              0
    -47    249              0
    -47    305              0
    -40    156              4
    -40    398              4
    -39    133              0
    -39    421              0
    -36    194              0
    -36    360              0
    -28     94            N/A
    -28    460            N/A
    -27    145             -4
    -27    409             -4
    -23    163              0
    -23    391              0
    -19     33              0
    -19    521              0
    -16    240              4
    -16    314              4
    -12     88              0
    -12    466              0
     -7     47            N/A
     -7    507            N/A
     -4    120              0
     -4    434              0
