Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,214) - 1/3*(1,234) + 5/3*(1,239) - 2/3*(1,240) + 1/3*(1,242) - 1/6*(1,243) - 1/3*(1,244) - 5/3*(1,245) + 7/6*(1,246) + 1/3*(1,247) - 2/3*(1,249) - 1/6*(1,250) + (1,251) + 5/6*(1,252) - 1/2*(1,257) - 1/3*(1,258) + 1/3*(1,259) + 1/3*(1,260) + 4/3*(1,261) - (1,262) + 1/2*(1,263) - (1,264) + 1/2*(1,265) + 1/2*(1,266) + 1/6*(1,267) - 1/6*(1,268) - 5/6*(1,269) + 5/6*(1,270) - 1/2*(1,271) + 1/2*(1,272) - 1/2*(1,273) + 1/3*(1,274) - (1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
   -499     71           20/3
   -499    483           20/3
   -495    239           14/3
   -495    315           14/3
   -492    184          -14/3
   -492    370          -14/3
   -491    127          -14/3
   -491    427          -14/3
   -488    204          -10/3
   -488    350          -10/3
   -487    187            -10
   -487    367            -10
   -484    212           14/3
   -484    342           14/3
   -483     25             12
   -483    529             12
   -480    118          -10/3
   -480    436          -10/3
   -479    181          -10/3
   -479    373          -10/3
   -475    165            -18
   -475    389            -18
   -471    103             -4
   -471    451             -4
   -468    232             -6
   -468    322             -6
   -467    151             -4
   -467    403             -4
   -464    190          -14/3
   -464    364          -14/3
   -463     63           34/3
   -463    491           34/3
   -452     42              2
   -452    512              2
   -448    178            N/A
   -448    376            N/A
   -432     26           22/3
   -432    528           22/3
   -431    257           -8/3
   -431    297           -8/3
   -424    246           -8/3
   -424    308           -8/3
   -423    193           22/3
   -423    361           22/3
   -408     54              0
   -408    500              0
   -407     79            2/3
   -407    475            2/3
   -400     92             -2
   -400    462             -2
   -399    175          -16/3
   -399    379          -16/3
   -383    123              4
   -383    431              4
   -379     27          -40/3
   -379    527          -40/3
   -368     98             -4
   -368    456             -4
   -367     43            8/3
   -367    511            8/3
   -364    196              4
   -364    358              4
   -363    207           -2/3
   -363    347           -2/3
   -360     86           22/3
   -360    468           22/3
   -356     72           16/3
   -356    482           16/3
   -352    220           20/3
   -352    334           20/3
   -351    155           10/3
   -351    399           10/3
   -348    162           -4/3
   -348    392           -4/3
   -347    255           14/3
   -347    299           14/3
   -344    140          -10/3
   -344    414          -10/3
   -343    225            N/A
   -343    329            N/A
   -340    136           10/3
   -340    418           10/3
   -339    237           -2/3
   -339    317           -2/3
   -336     64           -4/3
   -336    490           -4/3
   -332    172          -14/3
   -332    382          -14/3
   -324     28           22/3
   -324    526           22/3
   -316    144          -14/3
   -316    410          -14/3
   -311    215           -4/3
   -311    339           -4/3
   -307    109           34/3
   -307    445           34/3
   -304    132           16/3
   -304    422           16/3
   -300    114           -2/3
   -300    440           -2/3
   -299     55             -2
   -299    499             -2
   -296    244          -14/3
   -296    310          -14/3
   -287    199           -2/3
   -287    355           -2/3
   -284    230           10/3
   -284    324           10/3
   -280     44              2
   -280    510              2
   -276    276           -2/3
   -276    278           -2/3
   -268    274           32/3
   -268    280           32/3
   -267     29              6
   -267    525              6
   -264    104            2/3
   -264    450            2/3
