Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,218) - 5/3*(1,234) + 4/3*(1,239) - 4/3*(1,240) + 2/3*(1,242) - 1/3*(1,243) - 2/3*(1,244) - 4/3*(1,245) + 4/3*(1,246) + 2/3*(1,247) - 1/3*(1,249) - 4/3*(1,250) + (1,251) + 5/3*(1,252) - (1,257) + 1/3*(1,258) + 2/3*(1,259) - 1/3*(1,260) + 5/3*(1,261) - (1,262) + (1,263) + (1,266) - 2/3*(1,267) + 2/3*(1,268) - 5/3*(1,269) + 5/3*(1,270) - (1,271) - 1/3*(1,274) - 2*(1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
   -499     71           -8/3
   -499    483           -8/3
   -495    239            4/3
   -495    315            4/3
   -492    184           -4/3
   -492    370           -4/3
   -491    127           -4/3
   -491    427           -4/3
   -488    204           -8/3
   -488    350           -8/3
   -487    187              4
   -487    367              4
   -484    212            4/3
   -484    342            4/3
   -483     25              4
   -483    529              4
   -480    118            4/3
   -480    436            4/3
   -479    181          -20/3
   -479    373          -20/3
   -475    165            -16
   -475    389            -16
   -471    103            -12
   -471    451            -12
   -468    232             -8
   -468    322             -8
   -467    151             -4
   -467    403             -4
   -464    190          -16/3
   -464    364          -16/3
   -463     63           -4/3
   -463    491           -4/3
   -452     42              4
   -452    512              4
   -448    178            N/A
   -448    376            N/A
   -432     26           -4/3
   -432    528           -4/3
   -431    257          -40/3
   -431    297          -40/3
   -424    246          -28/3
   -424    308          -28/3
   -423    193           20/3
   -423    361           20/3
   -408     54              0
   -408    500              0
   -407     79          -20/3
   -407    475          -20/3
   -400     92              0
   -400    462              0
   -399    175          -20/3
   -399    379          -20/3
   -383    123              4
   -383    431              4
   -379     27          -32/3
   -379    527          -32/3
   -368     98              0
   -368    456              0
   -367     43          -32/3
   -367    511          -32/3
   -364    196              0
   -364    358              0
   -363    207            8/3
   -363    347            8/3
   -360     86            8/3
   -360    468            8/3
   -356     72           20/3
   -356    482           20/3
   -352    220           -8/3
   -352    334           -8/3
   -351    155           -4/3
   -351    399           -4/3
   -348    162           -8/3
   -348    392           -8/3
   -347    255           28/3
   -347    299           28/3
   -344    140          -32/3
   -344    414          -32/3
   -343    225            N/A
   -343    329            N/A
   -340    136           44/3
   -340    418           44/3
   -339    237          -16/3
   -339    317          -16/3
   -336     64           -8/3
   -336    490           -8/3
   -332    172           -4/3
   -332    382           -4/3
   -324     28            8/3
   -324    526            8/3
   -316    144          -16/3
   -316    410          -16/3
   -311    215            4/3
   -311    339            4/3
   -307    109           32/3
   -307    445           32/3
   -304    132            8/3
   -304    422            8/3
   -300    114          -16/3
   -300    440          -16/3
   -299     55             -4
   -299    499             -4
   -296    244          -16/3
   -296    310          -16/3
   -287    199           -4/3
   -287    355           -4/3
   -284    230           32/3
   -284    324           32/3
   -280     44              8
   -280    510              8
   -276    276            8/3
   -276    278            8/3
   -268    274            4/3
   -268    280            4/3
   -267     29             12
   -267    525             12
   -264    104            4/3
   -264    450            4/3
   -256    148           16/3
   -256    406           16/3
   -255    253            8/3
   -255    301            8/3
   -252    272            N/A
   -252    282            N/A
   -248     80          -16/3
   -248    474          -16/3
   -247    169            8/3
   -247    385            8/3
   -243    119          -32/3
   -243    435          -32/3
   -236    128           -8/3
   -236    426           -8/3
   -228    270              4
   -228    284              4
   -220    210              0
   -220    344              0
   -215     93            4/3
   -215    461            4/3
   -211     73              0
   -211    481              0
   -208     30           -4/3
   -208    524           -4/3
   -207     65              8
   -207    489              8
   -203    159           40/3
   -203    395           40/3
   -196    268           -4/3
   -196    286           -4/3
   -192    202           -8/3
   -192    352           -8/3
   -191     45          -16/3
   -191    509          -16/3
   -188     56           -8/3
   -188    498           -8/3
   -187     87             -4
   -187    467             -4
   -175    235            N/A
   -175    319            N/A
   -171     99            8/3
   -171    455            8/3
   -164    152          -28/3
   -164    402          -28/3
   -160    242             12
   -160    312             12
   -156    266           20/3
   -156    288           20/3
   -155    251            4/3
   -155    303            4/3
   -147     31          -16/3
   -147    523          -16/3
   -144    166              4
   -144    388              4
   -136    124           16/3
   -136    430           16/3
   -131    223           -4/3
   -131    331           -4/3
   -123    185            4/3
   -123    369            4/3
   -120    218              8
   -120    336              8
   -116    182           28/3
   -116    372           28/3
   -112    188            N/A
   -112    366            N/A
   -108    264             -4
   -108    290             -4
   -100     46          -20/3
   -100    508          -20/3
    -92    228           -4/3
    -92    326           -4/3
    -91    179              0
    -91    375              0
    -88    110            4/3
    -88    444            4/3
    -87     81              0
    -87    473              0
    -84     32            4/3
    -84    522            4/3
    -83    191           -4/3
    -83    363           -4/3
    -79    205            8/3
    -79    349            8/3
    -76     66           -8/3
    -76    488           -8/3
    -75     57              0
    -75    497              0
    -71    115             -4
