Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,224) - 2/3*(1,234) + 4/3*(1,239) - 4/3*(1,240) - 1/3*(1,242) - 1/3*(1,243) - 2/3*(1,244) + 2/3*(1,245) + 1/3*(1,246) - 1/3*(1,247) + 2/3*(1,249) - 4/3*(1,250) + 2/3*(1,252) - 2/3*(1,258) + 2/3*(1,259) + 2/3*(1,260) + 2/3*(1,261) - 2/3*(1,267) + 2/3*(1,268) - 2/3*(1,269) + 2/3*(1,270) - 1/3*(1,274) - (1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
   -499     71            4/3
   -499    483            4/3
   -495    239           16/3
   -495    315           16/3
   -492    184          -16/3
   -492    370          -16/3
   -491    127           -4/3
   -491    427           -4/3
   -488    204           -8/3
   -488    350           -8/3
   -487    187             -4
   -487    367             -4
   -484    212            4/3
   -484    342            4/3
   -483     25              8
   -483    529              8
   -480    118           -8/3
   -480    436           -8/3
   -479    181           -8/3
   -479    373           -8/3
   -475    165             -4
   -475    389             -4
   -471    103             -4
   -471    451             -4
   -468    232              0
   -468    322              0
   -467    151              4
   -467    403              4
   -464    190          -16/3
   -464    364          -16/3
   -463     63           32/3
   -463    491           32/3
   -452     42             -4
   -452    512             -4
   -448    178            N/A
   -448    376            N/A
   -432     26            8/3
   -432    528            8/3
   -431    257           -4/3
   -431    297           -4/3
   -424    246            8/3
   -424    308            8/3
   -423    193            8/3
   -423    361            8/3
   -408     54              0
   -408    500              0
   -407     79           -8/3
   -407    475           -8/3
   -400     92             -4
   -400    462             -4
   -399    175           -8/3
   -399    379           -8/3
   -383    123              0
   -383    431              0
   -379     27          -32/3
   -379    527          -32/3
   -368     98              0
