Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,229) + (1,234) - (1,239) + (1,243) + (1,250) - (1,251) + (1,258) - (1,260) - (1,261) + (1,262) + (1,269) - (1,270) + (1,271) - (1,272) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
   -499     71             -8
   -499    483             -8
   -495    239             -4
   -495    315             -4
   -492    184              8
   -492    370              8
   -491    127              4
   -491    427              4
   -488    204              4
   -488    350              4
   -487    187              4
   -487    367              4
   -484    212             -4
   -484    342             -4
   -483     25            -12
   -483    529            -12
   -480    118              4
   -480    436              4
   -479    181              4
   -479    373              4
   -475    165              4
   -475    389              4
   -471    103              0
   -471    451              0
   -468    232              0
   -468    322              0
   -467    151             -4
   -467    403             -4
   -464    190              8
   -464    364              8
   -463     63            -16
   -463    491            -16
   -452     42              4
   -452    512              4
   -448    178            N/A
   -448    376            N/A
   -432     26             -4
   -432    528             -4
   -431    257             -4
   -431    297             -4
   -424    246             -8
   -424    308             -8
   -423    193              0
   -423    361              0
   -408     54             -4
   -408    500             -4
   -407     79              0
   -407    475              0
   -400     92              4
   -400    462              4
   -399    175              0
   -399    379              0
   -383    123              0
   -383    431              0
   -379     27             16
   -379    527             16
   -368     98              4
   -368    456              4
   -367     43             -4
   -367    511             -4
   -364    196             -8
   -364    358             -8
   -363    207              4
   -363    347              4
   -360     86             -4
   -360    468             -4
   -356     72             -4
   -356    482             -4
   -352    220             -8
   -352    334             -8
   -351    155             -8
   -351    399             -8
   -348    162              4
   -348    392              4
   -347    255             -4
   -347    299             -4
   -344    140              0
   -344    414              0
   -343    225            N/A
   -343    329            N/A
   -340    136              0
   -340    418              0
   -339    237             -4
   -339    317             -4
   -336     64              4
   -336    490              4
   -332    172              0
   -332    382              0
   -324     28             -4
   -324    526             -4
   -316    144              4
   -316    410              4
   -311    215              0
   -311    339              0
   -307    109              0
   -307    445              0
   -304    132             -4
   -304    422             -4
   -300    114             -4
   -300    440             -4
   -299     55              4
   -299    499              4
   -296    244              8
   -296    310              8
   -287    199              0
   -287    355              0
   -284    230              0
   -284    324              0
   -280     44              0
   -280    510              0
   -276    276              4
   -276    278              4
   -268    274             -8
   -268    280             -8
   -267     29             -8
   -267    525             -8
   -264    104             -4
   -264    450             -4
   -256    148              0
   -256    406              0
   -255    253              4
   -255    301              4
   -252    272            N/A
   -252    282            N/A
   -248     80              0
   -248    474              0
   -247    169              0
   -247    385              0
   -243    119              8
   -243    435              8
   -236    128             -4
   -236    426             -4
   -228    270             -4
   -228    284             -4
   -220    210              4
   -220    344              4
   -215     93              0
   -215    461              0
   -211     73              4
   -211    481              4
   -208     30              4
   -208    524              4
   -207     65              8
   -207    489              8
   -203    159              0
   -203    395              0
   -196    268              8
   -196    286              8
   -192    202              0
   -192    352              0
   -191     45              0
   -191    509              0
   -188     56              0
   -188    498              0
   -187     87              0
   -187    467              0
   -175    235            N/A
   -175    319            N/A
   -171     99              0
   -171    455              0
   -164    152              4
   -164    402              4
   -160    242             -4
   -160    312             -4
   -156    266             -4
   -156    288             -4
   -155    251              0
   -155    303              0
   -147     31              0
   -147    523              0
   -144    166              0
   -144    388              0
   -136    124              0
   -136    430              0
   -131    223             -4
   -131    331             -4
   -123    185              0
   -123    369              0
   -120    218              4
   -120    336              4
   -116    182             -4
   -116    372             -4
   -112    188            N/A
   -112    366            N/A
   -108    264              0
   -108    290              0
   -100     46              0
   -100    508              0
    -92    228              0
    -92    326              0
    -91    179              0
    -91    375              0
    -88    110              0
    -88    444              0
    -87     81              0
    -87    473              0
    -84     32              0
    -84    522              0
    -83    191              0
    -83    363              0
    -79    205             -4
    -79    349             -4
    -76     66             -4
    -76    488             -4
    -75     57              0
    -75    497              0
    -71    115              4
    -71    439              4
    -67    137              0
    -67    417              0
    -64     74              0
    -64    480              0
    -63    141            N/A
    -63    413            N/A
    -59    213              0
    -59    341              0
    -55    105              0
    -55    449              0
    -52    262              0
    -52    292              0
    -48    176              4
    -48    378              4
    -47    249              0
    -47    305              0
    -40    156              4
    -40    398              4
    -39    133              4
    -39    421              4
    -36    194              4
    -36    360              4
    -28     94            N/A
    -28    460            N/A
    -27    145             -4
    -27    409             -4
    -23    163             -4
    -23    391             -4
    -19     33              0
    -19    521              0
    -16    240              0
    -16    314              0
    -12     88              0
    -12    466              0
     -7     47            N/A
     -7    507            N/A
     -4    120             -4
     -4    434             -4
