Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,233) + 1/3*(1,234) - 2/3*(1,239) + 2/3*(1,240) - 1/3*(1,242) + 2/3*(1,243) - 2/3*(1,244) + 2/3*(1,245) - 2/3*(1,246) - 1/3*(1,247) + 2/3*(1,249) - 1/3*(1,250) - 1/3*(1,252) - 2/3*(1,258) + 2/3*(1,259) - 1/3*(1,260) - 1/3*(1,261) - (1,266) + 1/3*(1,267) - 1/3*(1,268) + 1/3*(1,269) - 1/3*(1,270) + (1,271) - 1/3*(1,274) + (1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
   -499     71           40/3
   -499    483           40/3
   -495    239          -20/3
   -495    315          -20/3
   -492    184          -16/3
   -492    370          -16/3
   -491    127           -4/3
   -491    427           -4/3
   -488    204           16/3
   -488    350           16/3
   -487    187              8
   -487    367              8
   -484    212           16/3
   -484    342           16/3
   -483     25              0
   -483    529              0
   -480    118           16/3
   -480    436           16/3
   -479    181            4/3
   -479    373            4/3
   -475    165              4
   -475    389              4
   -471    103              4
   -471    451              4
   -468    232              0
   -468    322              0
   -467    151              4
   -467    403              4
   -464    190           -4/3
   -464    364           -4/3
   -463     63          -28/3
   -463    491          -28/3
   -452     42             -4
   -452    512             -4
   -448    178            N/A
   -448    376            N/A
   -432     26          -16/3
   -432    528          -16/3
   -431    257           20/3
   -431    297           20/3
   -424    246            8/3
   -424    308            8/3
   -423    193           -4/3
   -423    361           -4/3
   -408     54              0
   -408    500              0
   -407     79            4/3
   -407    475            4/3
   -400     92              4
   -400    462              4
   -399    175           16/3
   -399    379           16/3
   -383    123             -4
   -383    431             -4
   -379     27            4/3
   -379    527            4/3
   -368     98              0
   -368    456              0
   -367     43           -8/3
   -367    511           -8/3
   -364    196              0
   -364    358              0
   -363    207           -4/3
   -363    347           -4/3
   -360     86            8/3
   -360    468            8/3
   -356     72          -16/3
   -356    482          -16/3
   -352    220           -8/3
   -352    334           -8/3
   -351    155           20/3
   -351    399           20/3
   -348    162           16/3
   -348    392           16/3
   -347    255          -20/3
   -347    299          -20/3
   -344    140           16/3
   -344    414           16/3
   -343    225            N/A
   -343    329            N/A
   -340    136            8/3
   -340    418            8/3
   -339    237           -4/3
   -339    317           -4/3
   -336     64           -8/3
   -336    490           -8/3
   -332    172            8/3
   -332    382            8/3
   -324     28           -4/3
   -324    526           -4/3
   -316    144          -16/3
   -316    410          -16/3
   -311    215           -8/3
   -311    339           -8/3
   -307    109            8/3
   -307    445            8/3
   -304    132           -4/3
   -304    422           -4/3
   -300    114           -4/3
   -300    440           -4/3
   -299     55              4
   -299    499              4
   -296    244            8/3
   -296    310            8/3
   -287    199           -4/3
   -287    355           -4/3
   -284    230          -16/3
   -284    324          -16/3
   -280     44             -4
   -280    510             -4
   -276    276           -4/3
   -276    278           -4/3
   -268    274           -8/3
   -268    280           -8/3
   -267     29              0
   -267    525              0
   -264    104           -8/3
   -264    450           -8/3
   -256    148          -20/3
   -256    406          -20/3
   -255    253           -4/3
   -255    301           -4/3
   -252    272            N/A
   -252    282            N/A
   -248     80            8/3
   -248    474            8/3
   -247    169          -28/3
   -247    385          -28/3
   -243    119            4/3
   -243    435            4/3
   -236    128            4/3
   -236    426            4/3
   -228    270             -4
   -228    284             -4
   -220    210              0
   -220    344              0
   -215     93           -8/3
   -215    461           -8/3
   -211     73             -4
   -211    481             -4
   -208     30            8/3
   -208    524            8/3
   -207     65              4
   -207    489              4
   -203    159          -20/3
   -203    395          -20/3
   -196    268           -4/3
   -196    286           -4/3
   -192    202            4/3
   -192    352            4/3
   -191     45            8/3
   -191    509            8/3
   -188     56           16/3
   -188    498           16/3
   -187     87              0
   -187    467              0
   -175    235            N/A
   -175    319            N/A
   -171     99           -4/3
   -171    455           -4/3
   -164    152            8/3
   -164    402            8/3
   -160    242              0
   -160    312              0
   -156    266           -4/3
   -156    288           -4/3
   -155    251            4/3
   -155    303            4/3
   -147     31            8/3
   -147    523            8/3
   -144    166              4
   -144    388              4
   -136    124            4/3
   -136    430            4/3
   -131    223            8/3
   -131    331            8/3
   -123    185            4/3
   -123    369            4/3
   -120    218             -4
   -120    336             -4
   -116    182           -8/3
   -116    372           -8/3
   -112    188            N/A
   -112    366            N/A
   -108    264             -4
   -108    290             -4
   -100     46           16/3
   -100    508           16/3
    -92    228           -4/3
    -92    326           -4/3
    -91    179             -4
    -91    375             -4
    -88    110          -20/3
    -88    444          -20/3
    -87     81              0
    -87    473              0
    -84     32           -8/3
    -84    522           -8/3
    -83    191            8/3
    -83    363            8/3
    -79    205           -4/3
    -79    349           -4/3
    -76     66            4/3
    -76    488            4/3
    -75     57             -4
    -75    497             -4
    -71    115              4
    -71    439              4
    -67    137            4/3
    -67    417            4/3
    -64     74              0
    -64    480              0
    -63    141            N/A
    -63    413            N/A
    -59    213            8/3
    -59    341            8/3
    -55    105              4
    -55    449              4
    -52    262              4
    -52    292              4
    -48    176              4
    -48    378              4
    -47    249           -4/3
    -47    305           -4/3
    -40    156            4/3
    -40    398            4/3
    -39    133           -4/3
    -39    421           -4/3
    -36    194           -4/3
    -36    360           -4/3
    -28     94            N/A
    -28    460            N/A
    -27    145              0
    -27    409              0
    -23    163           -4/3
    -23    391           -4/3
    -19     33              0
    -19    521              0
    -16    240              0
    -16    314              0
    -12     88              0
    -12    466              0
     -7     47            N/A
     -7    507            N/A
     -4    120           -4/3
     -4    434           -4/3
