Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-3,21) to the modular symbol (1,23) - (1,32) + (1,34) of weight 2 and level 37.  Data generated by the following Sage code:

ms37a = kernel(ModularSymbols(Gamma0(37), 2).plus_submodule().cuspidal_submodule().atkin_lehner_operator() - 1).gen(0)
compute_jacobi_fast(ms37a, -3, 21, 2000)

Weight: 2
Index: 37

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
  -1999     31             -2
  -1999     43             -2
  -1995     15            -24
  -1995     59            -24
  -1991      9             -2
  -1991     65             -2
  -1988     26             -2
  -1988     48             -2
  -1987     23            -22
  -1987     51            -22
  -1972     10              0
  -1972     64              0
  -1971     29              6
  -1971     45              6
  -1968     20              0
  -1968     54              0
  -1964     16             -4
  -1964     58             -4
  -1960     36              8
  -1960     38              8
  -1952     34             -8
  -1952     40             -8
  -1951     11              6
  -1951     63              6
  -1940     24             -4
  -1940     50             -4
  -1936     32            -16
  -1936     42            -16
  -1935     27              0
  -1935     47              0
  -1931     17              6
  -1931     57              6
  -1928     12             -4
  -1928     62             -4
  -1927     21             -2
  -1927     53             -2
  -1924      0            -16
  -1923      1             -6
  -1923     73             -6
  -1920      2              8
  -1920     72              8
  -1915      3            -20
  -1915     71            -20
  -1912     30             20
  -1912     44             20
  -1908      4             24
  -1908     70             24
  -1903     13              6
  -1903     61              6
  -1899      5             12
  -1899     69             12
  -1896     18             -8
  -1896     56             -8
  -1891     25             -8
  -1891     49             -8
  -1888      6             -8
  -1888     68             -8
  -1887     37             -8
  -1884     22              6
  -1884     52              6
  -1883     35             -8
  -1883     39             -8
  -1880     28             -4
  -1880     46             -4
  -1876     14             -8
  -1876     60             -8
  -1875      7            N/A
  -1875     67            N/A
  -1871     33              2
  -1871     41              2
  -1860      8            -12
  -1860     66            -12
  -1859     19              2
  -1859     55              2
  -1851     31             18
  -1851     43             18
  -1847     15             -4
  -1847     59             -4
  -1843      9            -20
  -1843     65            -20
  -1840     26              0
  -1840     48              0
  -1839     23              6
  -1839     51              6
  -1824     10             -8
  -1824     64             -8
  -1823     29             -2
  -1823     45             -2
  -1820     20             12
  -1820     54             12
  -1816     16             -8
  -1816     58             -8
  -1812     36              0
  -1812     38              0
  -1804     34            -10
  -1804     40            -10
  -1803     11             16
  -1803     63             16
  -1792     24             -8
  -1792     50             -8
  -1788     32              6
  -1788     42              6
  -1787     27            -12
  -1787     47            -12
  -1783     17              0
  -1783     57              0
  -1780     12              4
  -1780     62              4
  -1779     21              6
  -1779     53              6
  -1776      0            -16
  -1775      1              6
  -1775     73              6
  -1772      2             -2
  -1772     72             -2
  -1767      3              0
  -1767     71              0
  -1764     30              0
  -1764     44              0
  -1760      4             -8
  -1760     70             -8
  -1755     13             12
  -1755     61             12
  -1751      5              0
  -1751     69              0
  -1748     18             -4
  -1748     56             -4
  -1743     25             -6
  -1743     49             -6
  -1740      6              4
  -1740     68              4
  -1739     37             -4
  -1736     22              8
  -1736     52              8
  -1735     35              4
  -1735     39              4
  -1732     28             -6
  -1732     46             -6
  -1728     14            N/A
  -1728     60            N/A
  -1727      7             -2
  -1727     67             -2
  -1723     33            -10
  -1723     41            -10
  -1712      8              0
  -1712     66              0
  -1711     19              4
  -1711     55              4
  -1703     31              0
  -1703     43              0
  -1699     15              2
  -1699     59              2
  -1695      9             -8
  -1695     65             -8
  -1692     26             24
  -1692     48             24
  -1691     23              4
  -1691     51              4
  -1676     10              6
  -1676     64              6
  -1675     29             12
  -1675     45             12
  -1672     20              4
  -1672     54              4
  -1668     16             -4
  -1668     58             -4
  -1664     36              0
  -1664     38              0
  -1656     34              0
  -1656     40              0
  -1655     11              4
  -1655     63              4
  -1644     24             -4
  -1644     50             -4
  -1640     32             12
  -1640     42             12
  -1639     27              2
  -1639     47              2
  -1635     17             -4
  -1635     57             -4
  -1632     12             16
  -1632     62             16
  -1631     21              4
  -1631     53              4
  -1628      0             12
  -1627      1             16
  -1627     73             16
  -1624      2              4
  -1624     72              4
  -1619      3             -6
  -1619     71             -6
  -1616     30             -4
  -1616     44             -4
  -1612      4            -12
  -1612     70            -12
