Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(1,1) to the modular symbol (1,23) + (1,32) + (1,34) - (1,35) of weight 2 and level 37.  Data generated by the following Sage code:

ms37b = kernel(ModularSymbols(Gamma0(37), 2).minus_submodule().cuspidal_submodule().atkin_lehner_operator() + 1).gen(0)
jj = compute_jacobi_fast(ms37b, 1, 1, 2000)

Weight: 2
Index: 37

Coefficients:
====================================
  Delta      r     c(Delta,r)
====================================
      4      2            N/A
      4     72            N/A
      9      3            N/A
      9     71            N/A
     12     30              2
     12     44             -2
     16      4            N/A
     16     70            N/A
     21     13              2
     21     61             -2
     25      5            N/A
     25     69            N/A
     28     18              2
     28     56             -2
     33     25              2
     33     49             -2
     36      6            N/A
     36     68            N/A
     37     37              0
     40     22              0
     40     52              0
     41     35              2
     41     39             -2
     44     28              2
     44     46             -2
     48     14              0
     48     60              0
     49      7            N/A
     49     67            N/A
     53     33              2
     53     41             -2
     64      8            N/A
     64     66            N/A
     65     19              0
     65     55              0
     73     31              2
     73     43             -2
     77     15              2
     77     59             -2
     81      9            N/A
     81     65            N/A
     84     26              2
     84     48             -2
     85     23              4
     85     51             -4
    100     10            N/A
    100     64            N/A
    101     29              2
    101     45             -2
    104     20              4
    104     54             -4
    108     16              2
    108     58             -2
    112     36              0
    112     38              0
    120     34              0
    120     40              0
    121     11            N/A
    121     63            N/A
    132     24              2
    132     50             -2
    136     32              4
    136     42             -4
    137     27              4
    137     47             -4
    141     17              2
    141     57             -2
    144     12            N/A
    144     62            N/A
    145     21              4
    145     53             -4
    148      0              0
    149      1             -2
    149     73              2
    152      2              0
    152     72              0
    157      3              2
    157     71             -2
    160     30              0
    160     44              0
    164      4              2
    164     70             -2
    169     13            N/A
    169     61            N/A
    173      5              2
    173     69             -2
    176     18              0
    176     56              0
    181     25              2
    181     49             -2
    184      6              0
    184     68              0
    185     37              0
    188     22              6
    188     52             -6
    189     35             -2
    189     39              2
    192     28              4
    192     46             -4
    196     14            N/A
    196     60            N/A
    197      7              2
    197     67             -2
    201     33              0
    201     41              0
    212      8             -2
    212     66              2
    213     19              6
    213     55             -6
    221     31              0
    221     43              0
    225     15            N/A
    225     59            N/A
    229      9              6
    229     65             -6
    232     26              4
    232     48             -4
    233     23              0
    233     51              0
    248     10              0
    248     64              0
    249     29              2
    249     45             -2
    252     20              0
    252     54              0
    256     16            N/A
    256     58            N/A
    260     36              0
    260     38              0
    268     34              4
    268     40             -4
    269     11              0
    269     63              0
    280     24              8
    280     50             -8
    284     32             -2
    284     42              2
    285     27              4
    285     47             -4
    289     17            N/A
    289     57            N/A
    292     12              2
    292     62             -2
    293     21              4
    293     53             -4
    296      0              0
    297      1              2
    297     73             -2
    300      2              2
    300     72             -2
    305      3             -4
    305     71              4
    308     30              2
    308     44             -2
    312      4              4
    312     70             -4
    317     13              4
    317     61             -4
    321      5              0
    321     69              0
    324     18            N/A
    324     56            N/A
    329     25              2
    329     49             -2
    332      6              2
    332     68             -2
    333     37              0
    336     22              4
    336     52             -4
    337     35             -2
    337     39              2
    340     28             -4
    340     46              4
    344     14              4
    344     60             -4
    345      7              4
    345     67             -4
    349     33              0
    349     41              0
    360      8              0
    360     66              0
    361     19            N/A
    361     55            N/A
    369     31              4
    369     43             -4
    373     15              2
    373     59             -2
    377      9              0
    377     65              0
    380     26              4
    380     48             -4
    381     23              2
    381     51             -2
    396     10              4
    396     64             -4
    397     29              6
    397     45             -6
    400     20            N/A
    400     54            N/A
    404     16             -2
    404     58              2
    408     36              4
    408     38             -4
    416     34              0
    416     40              0
    417     11              0
    417     63              0
    428     24              0
    428     50              0
    432     32              0
    432     42              0
    433     27             -2
    433     47              2
    437     17              4
    437     57             -4
    440     12              8
    440     62             -8
    441     21            N/A
    441     53            N/A
    444      0              0
    445      1              0
    445     73              0
    448      2              4
    448     72             -4
    453      3              0
    453     71              0
    456     30              0
    456     44              0
    460      4             -4
    460     70              4
    465     13              4
    465     61             -4
    469      5              0
    469     69              0
    472     18              4
    472     56             -4
    477     25              4
    477     49             -4
    480      6              0
    480     68              0
    481     37              0
    484     22            N/A
    484     52            N/A
    485     35              4
    485     39             -4
    488     28              4
    488     46             -4
    492     14              6
    492     60             -6
    493      7              0
    493     67              0
    497     33             -2
    497     41              2
    508      8              6
    508     66             -6
    509     19              6
    509     55             -6
    517     31              2
    517     43             -2
    521     15              2
    521     59             -2
    525      9              2
    525     65             -2
    528     26             -4
    528     48              4
    529     23            N/A
    529     51            N/A
    544     10              0
    544     64              0
    545     29              0
    545     45              0
    548     20              4
    548     54             -4
    552     16              8
    552     58             -8
    556     36             -4
    556     38              4
    564     34              2
    564     40             -2
    565     11              8
    565     63             -8
    576     24            N/A
    576     50            N/A
    580     32              4
    580     42             -4
    581     27              2
    581     47             -2
    585     17              0
    585     57              0
    588     12              0
    588     62              0
    589     21              0
    589     53              0
    592      0              0
    593      1             -2
    593     73              2
    596      2             -2
    596     72              2
    601      3              4
    601     71             -4
    604     30              4
    604     44             -4
    608      4              0
    608     70              0
    613     13              2
    613     61             -2
    617      5              2
    617     69             -2
    620     18              4
    620     56             -4
    625     25            N/A
    625     49            N/A
    628      6              2
    628     68             -2
    629     37              0
    632     22             -4
    632     52              4
    633     35              2
    633     39             -2
    636     28              2
    636     46             -2
    640     14              0
    640     60              0
    641      7              2
    641     67             -2
    645     33              4
    645     41             -4
    656      8              4
    656     66             -4
    657     19              0
    657     55              0
    665     31             -4
    665     43              4
    669     15              6
    669     59             -6
    673      9              2
    673     65             -2
    676     26            N/A
    676     48            N/A
    677     23              2
    677     51             -2
    692     10              2
    692     64             -2
    693     29             -4
    693     45              4
    696     20              4
    696     54             -4
    700     16              2
    700     58             -2
    704     36              4
    704     38             -4
    712     34             -8
    712     40              8
    713     11              4
    713     63             -4
    724     24             -2
    724     50              2
    728     32              4
    728     42             -4
    729     27            N/A
    729     47            N/A
    733     17              6
    733     57             -6
    736     12              0
    736     62              0
    737     21              0
    737     53              0
    740      0              0
    741      1              4
    741     73             -4
    744      2             -8
    744     72              8
    749      3              4
    749     71             -4
    752     30              0
    752     44              0
    756      4              2
    756     70             -2
    761     13              6
    761     61             -6
    765      5              0
    765     69              0
    768     18              0
    768     56              0
    773     25              2
    773     49             -2
    776      6              4
